매체,학과명,0,100,200,300,400,500,600,700,800,900,ETC
CD자료,스마트전기전자공학과,0,0,0,0,0,0,0,2,0,0,0
DVD,기계공학과,4,0,0,0,0,2,112,3,0,0,0
DVD,스마트소프트웨어학과,0,0,0,0,0,0,1,0,0,0,0
DVD,스마트소프트웨어학과(심화),0,0,0,0,0,0,2,0,0,0,0
DVD,스마트전기전자공학과,0,0,0,0,0,0,13,0,0,0,0
DVD,전기전자공학과,0,0,0,0,0,0,3,0,0,0,0
DVD,학생상담실,0,0,0,0,0,0,3,0,0,0,0
동서 단행본,nan,3,0,0,0,0,0,0,0,2,0,0
동서 단행본,AI·DX 센터,23,1,0,9,1,1,1,0,5,0,0
동서 단행본,교무처,0,0,0,5,0,1,0,0,12,0,0
동서 단행본,교수학습지원센터,0,0,0,0,0,0,0,0,1,0,0
동서 단행본,기계공학과,74,82,4,245,61,471,14,12,880,35,1
동서 단행본,기타,0,1,0,0,0,5,0,0,23,2,0
동서 단행본,기획처,0,6,0,4,2,1,0,0,11,2,0
동서 단행본,보건실,0,2,0,17,0,2,2,5,41,4,0
동서 단행본,사무처,2,12,5,23,6,13,0,0,8,6,0
동서 단행본,산학융복합교육센터,5,6,1,5,1,0,0,3,50,6,0
동서 단행본,산학협력단,11,14,4,33,2,20,0,1,148,46,0
동서 단행본,스마트기계공학과,23,32,1,47,77,202,2,1,220,6,0
동서 단행본,스마트소프트웨어학과,751,83,3,130,13,174,14,14,283,17,4
동서 단행본,스마트소프트웨어학과(심화),132,11,0,30,9,23,6,16,21,0,2
동서 단행본,스마트전기전자공학과,38,49,9,101,35,231,7,44,183,9,0
동서 단행본,입학학생처(입학),7,3,0,11,2,5,1,11,12,7,0
동서 단행본,입학학생처(학생),9,8,4,12,1,6,8,46,14,2,0
동서 단행본,전기전자공학과,165,224,8,300,51,602,33,34,559,50,0
동서 단행본,취창업지원처,0,4,0,1,0,0,0,0,0,0,0
동서 단행본,학생상담실,3,34,0,3,0,3,0,0,19,1,0
동서 단행본,혁신지원사업팀,0,0,0,0,0,0,0,0,2,0,0
양서 단행본,기계공학과,0,0,0,0,1,0,0,0,0,0,0
양서 단행본,스마트소프트웨어학과,0,0,0,0,0,0,0,0,1,0,0
양서 단행본,스마트전기전자공학과,1,0,0,0,0,0,0,0,1,0,0
