구분,0~9,,9~10,,10~11,,11~12,,12~13,,13~14,,14~15,,15~16,,16~17,,17~18,,18~19,,19~20,,20~21,,21~22,,22~23,,23~24,,합계,
Gubun,권,명,권,명,권,명,권,명,권,명,권,명,권,명,권,명,권,명,권,명,권,명,권,명,권,명,권,명,권,명,권,명,권,명
교원(전임),1,1,40,12,94,25,30,11,24,11,100,31,84,25,73,26,43,18,52,24,0,0,0,0,0,0,0,0,0,0,0,0,541,184
기타,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,22,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,31,4
사회교육생,0,0,24,11,14,6,6,3,3,2,10,7,22,4,7,4,3,2,7,6,0,0,0,0,0,0,0,0,0,0,0,0,96,45
외래교수,0,0,0,0,2,1,0,0,1,1,4,1,6,2,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,18,7
조교,10,2,20,1,14,5,45,3,9,8,34,4,11,4,45,5,27,6,9,3,0,0,0,0,0,0,0,0,0,0,0,0,224,41
직원,5,3,31,17,74,29,49,25,106,58,112,42,66,32,71,34,65,34,116,44,0,0,0,0,0,0,0,0,0,0,0,0,695,318
학생,13,8,367,179,579,284,722,383,817,450,928,538,622,341,843,447,909,481,753,437,2,2,0,0,0,0,0,0,0,0,0,0,"6,555","3,550"
총계,29,14,482,220,777,350,852,425,960,530,"1,188",623,813,409,"1,039",516,"1,071",544,947,516,2,2,0,0,0,0,0,0,0,0,0,0,"8,160","4,149"
비율(%),0,0,6,5,10,8,10,10,12,13,15,15,10,10,13,12,13,13,12,12,0,0,0,0,0,0,0,0,0,0,0,0,100,100
