대출일자,대출기한,대출유형,반납일자,연체일수,소속,신분,변동,학년,등록번호,서명,저자,출판사,청구기호
2024-01-02 09:06:34,2024-01-17,일반,2024-01-02 09:06:55,0,도서관,직원,퇴직(졸업),,EM088446,마흔에 읽는 쇼펜하우어:마음의 위기를 다스리는 철학 수업 ,강용수,"유노북스,", 165.47강66ㅁ
2024-01-02 09:21:21,2024-01-09,일반,2024-01-04 11:30:10,0,스마트전기전자공학과,학생,퇴직(졸업),,EM085296,(2020)해커스 20대기업 인적성 검사:최신기출유형+실전문제 ,해커스 취업교육연구소,해커스잡:, 325.337해823ㅎ
2024-01-02 10:03:52,2024-01-17,일반,2024-01-02 10:04:03,0,도서관,직원,퇴직(졸업),,EM079004,조용헌의 사주명리학 이야기 :때를 고민하는 당신을 위한 인생수업  ,조용헌,"알에이치코리아,", 188.5조66ㅈ
2024-01-02 12:04:46,2024-01-09,일반,2024-01-05 12:33:39,0,기계공학과,학생,휴직(학),,EM075501,무엇을 위해 살 것인가 :스탠포드대 인생특강·목적으로 가는 길  ,"데이먼, 윌리엄","한국경제신문(한경BP),", 320데69ㅁKㅈc.5
2024-01-02 13:01:20,2024-01-17,일반,2024-01-15 13:04:22,0,산학협력단,직원,퇴직(졸업),,EM088256,"도둑맞은 집중력:집중력 위기의 시대, 삶의 주도권을 되찾는 법 ","하리, 요한","어크로스,", 181.27하239ㄷ
2024-01-02 13:01:20,2024-01-17,일반,2024-01-11 12:46:13,0,산학협력단,직원,퇴직(졸업),,EM087933,기분이 태도가 되지 말자:감정조절이 필요한 당신을 위한 책 ,김수현,"하이스트,", 181.7김57ㄱ
2024-01-02 13:01:20,2024-01-17,일반,2024-01-11 12:46:13,0,산학협력단,직원,퇴직(졸업),,EM087820,역행자:돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집 ,자청,"웅진지식하우스,", 325.211자813ㅇ
2024-01-03 12:53:12,2024-01-18,일반,2024-01-03 13:05:37,0,입학학생처(학생),직원,재직(학),,EM077465,탄광으로 간 바다민속  ,전제훈,"민속원,", 383.34전73ㅌ
2024-01-03 17:26:21,2024-01-18,일반,2024-02-19 17:11:39,32,입학학생처(학생),직원,재직(학),,EM077465,탄광으로 간 바다민속  ,전제훈,"민속원,", 383.34전73ㅌ
2024-01-04 09:05:18,2024-01-11,일반,2024-01-16 15:26:14,0,기계공학과,학생,퇴직(졸업),,EM087030,(2022)위험물기능사:필기+실기+무료동영상 .[1],박진원,"구민사,", 530.98077박79ㅇv.1
2024-01-04 09:05:18,2024-01-11,일반,2024-01-16 15:26:14,0,기계공학과,학생,퇴직(졸업),,EM088112,(2023 에듀윌)전기기능사 필기 한권끝장:핵심이론편 + 8개년 기출편 ,유치형,"에듀윌,", 560.77유819ㅈ3
2024-01-04 09:05:18,2024-01-11,일반,2024-01-16 15:26:14,0,기계공학과,학생,퇴직(졸업),,EM087034,(2022 에듀윌)위험물기능사:필기 2주 끝장 ,최창률,"에듀윌,", 530.98077최811ㅇ
2024-01-04 11:17:41,2024-01-19,일반,2024-02-05 17:04:35,2,학생상담실,직원,퇴직(졸업),,EM088439,생각이 너무 많은 어른들을 위한 심리학:후회 없는 삶을 살고 싶은 당신에게 해 주고 싶은 말들 ,김혜남,"메이븐,", 186.5김94ㅇ2
2024-01-04 11:17:42,2024-01-19,일반,2024-02-05 17:04:40,2,학생상담실,직원,퇴직(졸업),,EM088613,지루하면 죽는다:비밀이 많은 콘텐츠를 만들 것 ,"레러, 조나","윌북,", 802레233ㅈ
2024-01-04 11:18:31,2024-01-19,일반,2024-02-05 17:04:33,2,학생상담실,직원,퇴직(졸업),,EM088247,최소한의 선의 ,문유석,"문학동네,", 360.1문67ㅊ
2024-01-04 11:29:46,2024-01-11,일반,2024-01-17 17:13:13,0,스마트전기전자공학과,학생,퇴직(졸업),,EM088621,(해커스) 20대기업 인적성 :최신기출유형 + 실전문제  ,"해커스,",해커스잡 :, 325.337해8232
